QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:37:06, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:07.898Z, CompletionDateTime=2025-11-11T08:37:10.074Z), pendingTime=55.0 ms, executionTime=2041.0 ms, costCents=0.1758542295}
QueryExecutionInfo{queryID=Q6, submissionTime=2025-11-11 16:37:08, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:08.222Z, CompletionDateTime=2025-11-11T08:37:11.030Z), pendingTime=109.0 ms, executionTime=2614.0 ms, costCents=1.6504692245}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:37:24, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:24.208Z, CompletionDateTime=2025-11-11T08:37:26.080Z), pendingTime=92.0 ms, executionTime=1676.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:37:24, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:24.979Z, CompletionDateTime=2025-11-11T08:37:26.837Z), pendingTime=95.0 ms, executionTime=1668.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:37:26, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:26.263Z, CompletionDateTime=2025-11-11T08:37:28.211Z), pendingTime=97.0 ms, executionTime=1765.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:37:30, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:30.388Z, CompletionDateTime=2025-11-11T08:37:37.677Z), pendingTime=94.0 ms, executionTime=7128.0 ms, costCents=8.7376966415}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:37:38, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:39.051Z, CompletionDateTime=2025-11-11T08:37:41.011Z), pendingTime=93.0 ms, executionTime=1761.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:37:39, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:39.894Z, CompletionDateTime=2025-11-11T08:37:41.509Z), pendingTime=138.0 ms, executionTime=1371.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:37:42, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:42.686Z, CompletionDateTime=2025-11-11T08:37:44.328Z), pendingTime=56.0 ms, executionTime=1496.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:37:44, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:44.769Z, CompletionDateTime=2025-11-11T08:37:47.107Z), pendingTime=93.0 ms, executionTime=2163.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:37:47, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:48.045Z, CompletionDateTime=2025-11-11T08:37:56.616Z), pendingTime=104.0 ms, executionTime=8348.0 ms, costCents=8.7376966760}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:37:49, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:49.202Z, CompletionDateTime=2025-11-11T08:37:51.035Z), pendingTime=93.0 ms, executionTime=1675.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:37:55, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:55.676Z, CompletionDateTime=2025-11-11T08:37:57.398Z), pendingTime=56.0 ms, executionTime=1598.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q3, submissionTime=2025-11-11 16:37:58, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:37:58.578Z, CompletionDateTime=2025-11-11T08:38:01.957Z), pendingTime=93.0 ms, executionTime=3209.0 ms, costCents=3.3683635455}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:38:08, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:08.991Z, CompletionDateTime=2025-11-11T08:38:11.508Z), pendingTime=89.0 ms, executionTime=2331.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:38:18, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:18.930Z, CompletionDateTime=2025-11-11T08:38:22.604Z), pendingTime=63.0 ms, executionTime=3533.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:38:20, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:20.790Z, CompletionDateTime=2025-11-11T08:38:22.941Z), pendingTime=67.0 ms, executionTime=1838.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:38:21, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:21.422Z, CompletionDateTime=2025-11-11T08:38:23.999Z), pendingTime=61.0 ms, executionTime=2248.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:38:22, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:22.819Z, CompletionDateTime=2025-11-11T08:38:24.822Z), pendingTime=138.0 ms, executionTime=1783.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:38:25, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:25.715Z, CompletionDateTime=2025-11-11T08:38:27.324Z), pendingTime=71.0 ms, executionTime=1441.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q3, submissionTime=2025-11-11 16:38:28, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:28.523Z, CompletionDateTime=2025-11-11T08:38:32.168Z), pendingTime=98.0 ms, executionTime=3438.0 ms, costCents=3.3683635800}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:38:30, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:30.211Z, CompletionDateTime=2025-11-11T08:38:32.609Z), pendingTime=95.0 ms, executionTime=2223.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:38:42, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:42.262Z, CompletionDateTime=2025-11-11T08:38:44.004Z), pendingTime=55.0 ms, executionTime=1620.0 ms, costCents=0.1758542295}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:38:44, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:44.769Z, CompletionDateTime=2025-11-11T08:38:46.423Z), pendingTime=104.0 ms, executionTime=1467.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q6, submissionTime=2025-11-11 16:38:50, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:50.565Z, CompletionDateTime=2025-11-11T08:38:52.698Z), pendingTime=111.0 ms, executionTime=1937.0 ms, costCents=1.6504692245}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:38:55, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:55.881Z, CompletionDateTime=2025-11-11T08:38:57.941Z), pendingTime=101.0 ms, executionTime=1857.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:38:58, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:38:58.151Z, CompletionDateTime=2025-11-11T08:39:00.832Z), pendingTime=101.0 ms, executionTime=2489.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:39:16, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:16.421Z, CompletionDateTime=2025-11-11T08:39:18.440Z), pendingTime=92.0 ms, executionTime=1829.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:39:19, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:19.489Z, CompletionDateTime=2025-11-11T08:39:21.167Z), pendingTime=79.0 ms, executionTime=1516.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:39:19, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:19.799Z, CompletionDateTime=2025-11-11T08:39:21.533Z), pendingTime=93.0 ms, executionTime=1555.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:39:24, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:24.755Z, CompletionDateTime=2025-11-11T08:39:27.724Z), pendingTime=100.0 ms, executionTime=2755.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:39:26, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:27.083Z, CompletionDateTime=2025-11-11T08:39:28.599Z), pendingTime=105.0 ms, executionTime=1338.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:39:40, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:40.924Z, CompletionDateTime=2025-11-11T08:39:47.740Z), pendingTime=96.0 ms, executionTime=6613.0 ms, costCents=8.7376966415}
QueryExecutionInfo{queryID=Q6, submissionTime=2025-11-11 16:39:47, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:47.252Z, CompletionDateTime=2025-11-11T08:39:49.667Z), pendingTime=93.0 ms, executionTime=2239.0 ms, costCents=1.6504692245}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:39:47, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:48.053Z, CompletionDateTime=2025-11-11T08:39:49.644Z), pendingTime=94.0 ms, executionTime=1399.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:39:54, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:39:55.093Z, CompletionDateTime=2025-11-11T08:39:56.687Z), pendingTime=55.0 ms, executionTime=1459.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:39:59, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:00.036Z, CompletionDateTime=2025-11-11T08:40:10.888Z), pendingTime=101.0 ms, executionTime=10659.0 ms, costCents=8.7376966760}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:40:15, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:15.377Z, CompletionDateTime=2025-11-11T08:40:17.324Z), pendingTime=95.0 ms, executionTime=1743.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:40:15, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:15.656Z, CompletionDateTime=2025-11-11T08:40:18.670Z), pendingTime=103.0 ms, executionTime=2752.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:40:18, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:18.434Z, CompletionDateTime=2025-11-11T08:40:19.953Z), pendingTime=90.0 ms, executionTime=1354.0 ms, costCents=0.1758542295}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:40:25, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:25.171Z, CompletionDateTime=2025-11-11T08:40:26.600Z), pendingTime=95.0 ms, executionTime=1244.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:40:27, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:27.325Z, CompletionDateTime=2025-11-11T08:40:29.309Z), pendingTime=65.0 ms, executionTime=1837.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q3, submissionTime=2025-11-11 16:40:30, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:30.279Z, CompletionDateTime=2025-11-11T08:40:33.218Z), pendingTime=81.0 ms, executionTime=2752.0 ms, costCents=3.3683635455}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:40:31, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:31.460Z, CompletionDateTime=2025-11-11T08:40:33.468Z), pendingTime=94.0 ms, executionTime=1809.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:40:42, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:42.272Z, CompletionDateTime=2025-11-11T08:40:43.910Z), pendingTime=92.0 ms, executionTime=1469.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q5, submissionTime=2025-11-11 16:40:44, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:44.853Z, CompletionDateTime=2025-11-11T08:40:47.674Z), pendingTime=59.0 ms, executionTime=2659.0 ms, costCents=1.3536795225}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:40:51, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:51.548Z, CompletionDateTime=2025-11-11T08:40:53.168Z), pendingTime=53.0 ms, executionTime=1500.0 ms, costCents=0.1758542295}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:40:54, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:40:54.811Z, CompletionDateTime=2025-11-11T08:40:57.005Z), pendingTime=91.0 ms, executionTime=2008.0 ms, costCents=0.3236735600}
